channel_name,quantity_type,unit,notes
# Generated starter chart from Log__2026_03_31__06_03_01.csv,,,Review low-confidence rows before relying on them in MoTeC
Time,time,s,CSV time base column; not exported as a normal data channel
Segment 1 Max,distance,m,guess from segment naming
Segment 1 Min,distance,m,guess from segment naming
Segment 1 Mean,distance,m,guess from segment naming
Segment 2 Max,distance,m,guess from segment naming
Segment 2 Min,distance,m,guess from segment naming
Segment 2 Mean,distance,m,guess from segment naming
Segment 3 Max,distance,m,guess from segment naming
Segment 3 Min,distance,m,guess from segment naming
Segment 3 Mean,distance,m,guess from segment naming
Segment 4 Max,distance,m,guess from segment naming
Segment 4 Min,distance,m,guess from segment naming
Segment 4 Mean,distance,m,guess from segment naming
Segment Unique Max,distance,m,guess from segment naming
Segment Unique Min,distance,m,guess from segment naming
Segment Unique Mean,distance,m,guess from segment naming
Inverter Enabled,state,none,
Inverter Torque Request,torque,Nm,
OCV Estimate,voltage,kV,guess from EV pack OCV range
Power Limit,power,kW,
Power Limit Feedback P,power,kW,controller term guess
Power Limit Feedback I,power,kW,controller term guess
Power Limit Feedback D,power,kW,controller term guess
Power Limit Feedback Torque,torque,Nm,
PRNDL State,state,none,
Ready To Drive Buzzer,state,none,
Brake Light,state,none,
Enable Drag Reduction,state,none,
Pump Output,percent,%,assumed output duty cycle
Radiator Output,percent,%,assumed output duty cycle
Battery Fans Output,percent,%,assumed output duty cycle
Vehicle Displacement X,distance,m,
Vehicle Displacement Y,distance,m,
Vehicle Displacement Z,distance,m,
Vehicle Velocity X,speed,m/s,guess from small observed values
Vehicle Velocity Y,speed,m/s,guess from small observed values
Vehicle Velocity Z,speed,m/s,guess from small observed values
Vehicle Acceleration X,accel,m/s2,
Vehicle Acceleration Y,accel,m/s2,
Vehicle Acceleration Z,accel,m/s2,
HV Battery,state,none,ambiguous battery status channel
LV Battery,state,none,ambiguous battery status channel
Dash Speed,speed,m/s,guess from small observed values
APPS Telemetry,percent,%,guess from pedal telemetry naming
BSE Telemetry,percent,%,guess from pedal telemetry naming
Steering Wheel Telemetry,count,none,raw telemetry / low confidence
APPS Fault,state,none,
BSE Fault,state,none,
STOMPP Fault,state,none,
Steering Fault,state,none,
Voltage,voltage,V,generic signal name
Current,current,A,generic signal name
State of Charge,percent,%,
Pack Voltage Mean,voltage,V,
Pack Voltage Minimum,voltage,V,
Pack Voltage Maximum,voltage,V,
Pack Voltage Range,voltage,V,
Pack Temp Mean,temp,C,
Pack Temp Minimum,temp,C,
Pack Temp Maximum,temp,C,
Pack Temp Range,temp,C,
IMD,state,none,
AMS,state,none,
Contactor Status,state,none,
Cell Voltage Mean,voltage,V,
Cell Voltage Max,voltage,V,
Cell Voltage Min,voltage,V,
Cell Temps Mean,temp,C,
Cell Temps Max,temp,C,
Cell Temps Min,temp,C,
Volumetric Flow Rate,flow,L/min,guess from coolant flow naming
Water Temp Inverter,temp,C,
Water Temp Motor,temp,C,
Water Temp Radiator,temp,C,
Radiator Fan RPM Percentage,percent,%,
LV Voltage,voltage,V,
LV State of Charge,percent,%,
LV Current,current,A,
Voltage Input into DC,voltage,kV,guess from HV-side DC input
Current Input into DC,current,A,
RPM,rotspd,rpm,
Inverter Temp,temp,C,
Motor Temp,temp,C,
Motor Angle,angle,deg,
Resolver Angle,angle,deg,
Phase A Current,current,A,
Phase B Current,current,A,
Phase C Current,current,A,
BC Voltage,voltage,V,
AB Voltage,voltage,V,
Output Voltage,voltage,V,
Inverter Frequency,freq,Hz,
Actual Torque,torque,Nm,
Torque Command,torque,Nm,
Fault Vector,state,none,
State Vector,state,none,
APPS 1 Voltage,voltage,V,
APPS 2 Voltage,voltage,V,
BSE 1 Voltage,voltage,V,
BSE 2 Voltage,voltage,V,
Steer Voltage,voltage,V,
Suspension 1 Voltage,voltage,V,
Suspension 2 Voltage,voltage,V,
Front Left Wheel Speed,speed,m/s,guess from small observed values
Front Right Wheel Speed,speed,m/s,guess from small observed values
Back Left Wheel Speed,speed,m/s,guess from small observed values
Back Right Wheel Speed,speed,m/s,guess from small observed values
VCU Acceleration X,accel,m/s2,
VCU Acceleration Y,accel,m/s2,
VCU Acceleration Z,accel,m/s2,
HVC Acceleration X,accel,m/s2,
HVC Acceleration Y,accel,m/s2,
HVC Acceleration Z,accel,m/s2,
PDU Acceleration X,accel,m/s2,
PDU Acceleration Y,accel,m/s2,
PDU Acceleration Z,accel,m/s2,
Front Left Acceleration X,accel,m/s2,
Front Left Acceleration Y,accel,m/s2,
Front Left Acceleration Z,accel,m/s2,
Front Right Acceleration X,accel,m/s2,
Front Right Acceleration Y,accel,m/s2,
Front Right Acceleration Z,accel,m/s2,
Back Left Acceleration X,accel,m/s2,
Back Left Acceleration Y,accel,m/s2,
Back Left Acceleration Z,accel,m/s2,
Back Right Acceleration X,accel,m/s2,
Back Right Acceleration Y,accel,m/s2,
Back Right Acceleration Z,accel,m/s2,
VCU Gyro X,angvel,rad/sec,
VCU Gyro Y,angvel,rad/sec,
VCU Gyro Z,angvel,rad/sec,
HVC Gyro X,angvel,rad/sec,
HVC Gyro Y,angvel,rad/sec,
HVC Gyro Z,angvel,rad/sec,
PDU Gyro X,angvel,rad/sec,
PDU Gyro Y,angvel,rad/sec,
PDU Gyro Z,angvel,rad/sec,
Latitude,angle,deg,
Longitude,angle,deg,
Speed,speed,m/s,guess from small observed values
Heading,angle,deg,
Hour,time,none,timestamp component / discrete field
Minute,time,none,timestamp component / discrete field
Seconds,time,none,timestamp component / discrete field
Year,time,none,timestamp component / discrete field
Month,time,none,timestamp component / discrete field
Day,time,none,timestamp component / discrete field
Milliseconds,time,ms,timestamp component
