Time,Segment 1 Max,Segment 1 Min,Segment 1 Mean,Segment 2 Max,Segment 2 Min,Segment 2 Mean,Segment 3 Max,Segment 3 Min,Segment 3 Mean,Segment 4 Max,Segment 4 Min,Segment 4 Mean,Segment Unique Max,Segment Unique Min,Segment Unique Mean,Inverter Enabled,Inverter Torque Request,OCV Estimate,Power Limit,Power Limit Feedback P,Power Limit Feedback I,Power Limit Feedback D,Power Limit Feedback Torque,PRNDL State,Ready To Drive Buzzer,Brake Light,Enable Drag Reduction,Pump Output,Radiator Output,Battery Fans Output,Vehicle Displacement X,Vehicle Displacement Y,Vehicle Displacement Z,Vehicle Velocity X,Vehicle Velocity Y,Vehicle Velocity Z,Vehicle Acceleration X,Vehicle Acceleration Y,Vehicle Acceleration Z,HV Battery,LV Battery,Dash Speed,APPS Telemetry,BSE Telemetry,Steering Wheel Telemetry,APPS Fault,BSE Fault,STOMPP Fault,Steering Fault,Voltage,Current,State of Charge,Pack Voltage Mean,Pack Voltage Minimum,Pack Voltage Maximum,Pack Voltage Range,Pack Temp Mean,Pack Temp Minimum,Pack Temp Maximum,Pack Temp Range,IMD,AMS,Contactor Status,Cell Voltage Mean,Cell Voltage Max,Cell Voltage Min,Cell Temps Mean,Cell Temps Max,Cell Temps Min,Volumetric Flow Rate,Water Temp Inverter,Water Temp Motor,Water Temp Radiator,Radiator Fan RPM Percentage,LV Voltage,LV State of Charge,LV Current,Voltage Input into DC,Current Input into DC,RPM,Feedback Speed,Average Module Temp,Inverter Coolant Temp,Inverter Hot Spot Temp,Motor Temp,Motor Angle,Delta Resolver,Phase A Current,Phase B Current,Phase C Current,ID Feedback,IQ Feedback,BC Voltage,AB Voltage,Output Voltage,ID Command,IQ Command,Inverter Frequency,Actual Torque,Torque Command,Fault Vector,State Vector,BMS Limiting Regen Torque,Motor Temp Derate Limiting,Motor Hot Spot Limiting,BMS Active,BMS Limiting Motor Torque,Max Speed Limiting,Inverter Hot Spot Limiting,Low Speed Limiting,Coolant Derating Limiting,Stall Burst Limiting,APPS 1 Voltage,APPS 2 Voltage,BSE 1 Voltage,BSE 2 Voltage,Steer Voltage,Suspension 1 Voltage,Suspension 2 Voltage,Front Left Wheel Speed,Front Right Wheel Speed,Back Left Wheel Speed,Back Right Wheel Speed,Front Left Wheel Magnetic Field,VCU Acceleration X,VCU Acceleration Y,VCU Acceleration Z,HVC Acceleration X,HVC Acceleration Y,HVC Acceleration Z,PDU Acceleration X,PDU Acceleration Y,PDU Acceleration Z,Front Left Acceleration X,Front Left Acceleration Y,Front Left Acceleration Z,Front Right Acceleration X,Front Right Acceleration Y,Front Right Acceleration Z,Back Left Acceleration X,Back Left Acceleration Y,Back Left Acceleration Z,Back Right Acceleration X,Back Right Acceleration Y,Back Right Acceleration Z,VCU Gyro X,VCU Gyro Y,VCU Gyro Z,HVC Gyro X,HVC Gyro Y,HVC Gyro Z,PDU Gyro X,PDU Gyro Y,PDU Gyro Z,GPS Latitude,GPS Longitude,GPS Speed,GPS Heading,GPS Hour,GPS Minute,GPS Seconds,GPS Year,GPS Month,GPS Day,GPS Milliseconds
1.626414,29.100000,25.600000,27.490000,28.600000,26.400000,27.455555,28.600000,26.500000,27.470001,29.900000,26.500000,27.933332,30.700001,28.900000,29.466667,0,0.000000,0.306225,61.244999,0.612450,0.000000,-0.000000,0.612450,0,0,0.000500,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000667,0.000000,0.000000,0.000000,0.010776,-2147483648,1077112866,0,0,0.000000,520.739990,1.460000,0.000000,4.067439,3.895000,4.127800,0.232800,1399.588867,0.000000,30.000000,0,1077805056,0,18434989490176.003906,4.067439,4.127800,3.895000,27.831709,30.700001,25.600000,0.000000,-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.400000,0.000000,0.000000,0.000000,17.600000,2.600000,2.600000,-56.700001,94.200005,-93.900002,0.300000,-0.100000,-0.100000,0.300000,0.000000,0.200000,-0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,         0,90089584734046724,0,0,0,0,0,0,0,0,0,0,0.707636,0.347498,0.511907,0.473788,1.388029,0.573188,0.401781,0.000000,0.000000,0.000000,0.000000,1.092500,2.360129,-0.177129,9.560199,0.000000,0.000000,0.000000,-0.490000,-0.070000,10.040000,-10.420000,-0.720000,0.880000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.024435,-0.034208,-0.019548,0.000000,0.000000,0.000000,0.030000,-0.030000,-0.010000,30.385953,-97.726991,3.850000,130.179993,         3,        20,         9,        26,         4,         9,       582
1.636321,29.100000,25.600000,27.490000,28.600000,26.400000,27.455555,28.600000,26.500000,27.470001,29.900000,26.500000,27.933332,30.800001,28.900000,29.516668,0,0.000000,0.320104,64.020828,0.640208,0.000000,-0.000000,0.640208,0,0,0.000500,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000667,0.000000,0.000000,0.000000,0.009763,0,1077098787,0,0,0.000000,520.739990,1.460000,0.000000,4.067436,3.895000,4.127800,0.232800,1399.593628,0.000000,30.000000,0,1077805056,0,18434989490176.003906,4.067436,4.127800,3.895000,27.839027,30.800001,25.600000,0.000000,-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.400000,0.000000,0.000000,0.000000,19.000000,2.800000,2.800000,-56.700001,94.200005,-93.900002,0.300000,-0.100000,-0.100000,0.300000,0.000000,0.200000,-0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,         0,90089584734046724,0,0,0,0,0,0,0,0,0,0,0.720778,0.351023,0.518604,0.464321,1.385512,0.592021,0.387480,0.000000,0.000000,0.000000,0.000000,0.000000,2.398427,-0.090958,9.569773,0.000000,0.000000,0.000000,-0.470000,-0.060000,9.990000,-10.400000,-0.750000,0.860000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.029322,-0.034208,-0.019548,0.000000,0.000000,0.000000,0.030000,-0.030000,-0.010000,30.386007,-97.726605,2.720000,132.440002,         3,        20,         9,        26,         4,         9,       682
1.645022,29.100000,25.600000,27.490000,28.600000,26.400000,27.455555,28.600000,26.500000,27.470001,29.900000,26.500000,27.933332,30.800001,28.900000,29.516668,0,0.000000,0.320794,64.158890,0.641589,0.000000,-0.000000,0.641589,0,0,0.000500,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000667,0.000000,0.000000,0.000000,0.009922,0,1077086397,0,0,0.000000,520.739990,1.460000,0.000000,4.067436,3.895000,4.127800,0.232800,1399.593628,0.000000,30.000000,0,1077805056,0,18434989490176.003906,4.067436,4.127800,3.895000,27.839027,30.800001,25.600000,0.000000,-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.400000,0.000000,0.000000,0.000000,19.000000,2.800000,2.800000,-56.700001,94.099998,-93.900002,0.000000,0.200000,0.200000,0.000000,0.300000,0.200000,-0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,         0,90089584734046724,0,0,0,0,0,0,0,0,0,0,0.712168,0.336622,0.518654,0.464019,1.383296,0.595596,0.394731,0.000000,0.000000,0.000000,0.000000,1.075000,2.417577,-0.095746,9.564986,0.000000,0.000000,0.000000,-0.450000,-0.110000,10.040000,-10.540000,-0.750000,0.850000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.024435,-0.034208,-0.019548,0.000000,0.000000,0.000000,0.050000,-0.040000,-0.010000,30.386007,-97.726605,2.720000,132.440002,         3,        20,         9,        26,         4,         9,       682
1.653738,29.100000,25.600000,27.490000,28.600000,26.400000,27.455555,28.600000,26.500000,27.470001,30.000000,26.600000,28.000000,30.800001,28.900000,29.516668,0,0.000000,0.321477,64.295349,0.642953,0.000000,-0.000000,0.642953,0,0,0.000500,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000667,0.000000,0.000000,0.000000,0.009816,0,1077094563,0,0,0.000000,520.739990,1.460000,0.000000,4.067436,3.895000,4.127800,0.232800,1399.600098,0.000000,30.000000,0,1077805056,0,18434989490176.003906,4.067436,4.127800,3.895000,27.848782,30.800001,25.600000,0.000000,-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.400000,0.000000,0.000000,0.000000,19.000000,2.800000,2.800000,-56.700001,94.099998,-93.900002,0.000000,0.200000,0.200000,0.000000,0.300000,0.200000,-0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,         0,90089584734046724,0,0,0,0,0,0,0,0,0,0,0.710254,0.343621,0.509792,0.467494,1.384756,0.586331,0.401529,0.000000,0.000000,0.000000,0.000000,1.110000,2.436726,-0.081384,9.555411,0.000000,0.000000,0.000000,-0.410000,-0.110000,10.040000,-10.550000,-0.790000,0.860000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.024435,-0.029322,-0.019548,0.000000,0.000000,0.000000,0.040000,-0.050000,-0.010000,30.386007,-97.726605,2.720000,132.440002,         3,        20,         9,        26,         4,         9,       682
1.661714,29.100000,25.600000,27.490000,28.600000,26.400000,27.455555,28.600000,26.500000,27.470001,30.000000,26.600000,28.000000,30.800001,28.900000,29.516668,0,0.000000,0.322114,64.422821,0.644228,0.000000,-0.000000,0.644228,0,0,0.000500,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000667,0.000000,0.000000,0.000000,0.009964,0,1077116246,0,0,0.000000,520.739990,1.460000,0.000000,4.067436,3.895000,4.127800,0.232800,1399.600098,0.000000,30.000000,0,1077805056,0,18434989490176.003906,4.067436,4.127800,3.895000,27.848782,30.800001,25.600000,0.000000,-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.400000,0.000000,0.000000,0.000000,19.000000,2.800000,2.800000,-56.700001,94.099998,-93.900002,-0.300000,0.200000,-0.100000,-0.300000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,         0,90089584734046724,0,0,0,0,0,0,0,0,0,0,0.708693,0.356159,0.517899,0.463012,1.388634,0.578526,0.394127,0.000000,0.000000,0.000000,0.000000,1.087500,2.446300,-0.057447,9.541050,0.000000,0.000000,0.000000,-0.390000,-0.070000,10.050000,-10.530000,-0.790000,0.870000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.024435,-0.034208,-0.019548,0.000000,0.000000,0.000000,0.050000,-0.040000,-0.010000,30.386007,-97.726605,2.720000,132.440002,         3,        20,         9,        26,         4,         9,       682
1.670306,29.100000,25.600000,27.490000,28.600000,26.400000,27.455555,28.600000,26.500000,27.470001,30.000000,26.600000,28.000000,30.800001,28.900000,29.516668,0,0.000000,0.322778,64.555634,0.645556,0.000000,-0.000000,0.645556,0,0,0.000500,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000667,0.000000,0.000000,0.000000,0.010166,-2147483648,1077068938,0,0,0.000000,520.739990,1.460000,0.000000,4.067436,3.895000,4.127800,0.232800,1399.600098,0.000000,30.000000,0,1077805056,0,18434989490176.003906,4.067436,4.127800,3.895000,27.848782,30.800001,25.600000,0.000000,-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.400000,0.000000,0.000000,0.000000,19.000000,2.800000,2.800000,-56.700001,94.099998,-93.900002,-0.300000,-0.100000,0.600000,-0.300000,-0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,         0,90089584734046724,0,0,0,0,0,0,0,0,0,0,0.705420,0.347095,0.525150,0.476356,1.380174,0.593632,0.396040,0.000000,0.000000,0.000000,0.000000,1.087500,2.508535,-0.047873,9.521900,0.000000,0.000000,0.000000,-0.370000,-0.070000,10.020000,-10.530000,-0.790000,0.870000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.019548,-0.034208,-0.019548,0.000000,0.000000,0.000000,0.040000,-0.030000,-0.020000,30.386007,-97.726605,2.720000,132.440002,         3,        20,         9,        26,         4,         9,       682
1.679551,29.100000,25.600000,27.490000,28.600000,26.400000,27.455555,28.600000,26.500000,27.470001,30.000000,26.600000,28.000000,30.800001,28.900000,29.516668,0,0.000000,0.323432,64.686462,0.646865,0.000000,-0.000000,0.646865,0,0,0.000500,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000667,0.000000,0.000000,0.000000,0.010140,0,1077104419,0,0,0.000000,520.739990,1.460000,0.000000,4.067642,3.895000,4.127800,0.232800,1399.600098,0.000000,30.000000,0,1077805056,0,18434989490176.003906,4.067642,4.127800,3.895000,27.848782,30.800001,25.600000,0.000000,-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.400000,0.000000,0.000000,0.000000,19.000000,2.800000,2.800000,-56.700001,94.099998,-93.900002,-0.300000,-0.100000,0.600000,-0.300000,-0.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,         0,90089584734046724,0,0,0,0,0,0,0,0,0,0,0.714736,0.352735,0.507677,0.465077,1.386519,0.603452,0.398407,0.000000,0.000000,0.000000,0.000000,1.097500,2.565982,-0.086171,9.612859,0.000000,0.000000,0.000000,-0.330000,-0.020000,9.990000,-10.540000,-0.850000,0.910000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.019548,-0.024435,-0.019548,0.000000,0.000000,0.000000,0.030000,-0.030000,-0.010000,30.385970,-97.726562,3.230000,133.580002,         3,        20,         9,        26,         4,         9,       800
1.688238,29.100000,25.600000,27.490000,28.600000,26.400000,27.455555,28.600000,26.500000,27.470001,30.000000,26.600000,28.000000,30.800001,28.900000,29.516668,0,0.000000,0.324136,64.827225,0.648272,0.000000,-0.000000,0.648272,0,0,0.000500,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000667,0.000000,0.000000,0.000000,0.010105,-2147483648,1077110332,0,0,0.000000,520.739990,1.460000,0.000000,4.067641,3.895000,4.127800,0.232800,1399.600098,0.000000,30.000000,0,1077805056,0,18434989490176.003906,4.067641,4.127800,3.895000,27.848782,30.800001,25.600000,0.000000,-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.400000,0.000000,0.000000,0.000000,21.600000,3.300000,3.300000,-56.700001,94.099998,-93.900002,-0.300000,-0.500000,-0.100000,-0.300000,-0.700000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,         0,90089584734046724,0,0,0,0,0,0,0,0,0,0,0.706880,0.344527,0.508281,0.466084,1.387576,0.596150,0.396745,0.000000,0.000000,0.000000,0.000000,1.090000,2.532471,-0.038298,9.651157,0.000000,0.000000,0.000000,-0.340000,-0.020000,10.000000,-10.480000,-0.860000,0.930000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.019548,-0.034208,-0.019548,0.000000,0.000000,0.000000,0.040000,-0.040000,-0.010000,30.385970,-97.726562,3.230000,133.580002,         3,        20,         9,        26,         4,         9,       800
1.697016,29.100000,25.600000,27.490000,28.600000,26.400000,27.455555,28.600000,26.500000,27.470001,30.000000,26.600000,28.000000,30.800001,28.900000,29.516668,0,0.000000,0.324798,64.959518,0.649595,0.000000,-0.000000,0.649595,0,0,0.000500,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000667,0.000000,0.000000,0.000000,0.010276,0,1077079921,0,0,0.000000,520.739990,1.460000,0.000000,4.067642,3.895000,4.127800,0.232800,1399.600098,0.000000,30.000000,0,1077805056,0,18434989490176.003906,4.067642,4.127800,3.895000,27.848782,30.800001,25.600000,0.000000,-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.400000,0.000000,0.000000,0.000000,21.600000,3.300000,3.300000,-56.700001,94.099998,-93.900002,0.000000,-0.100000,-0.100000,0.000000,-0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,         0,90089584734046724,0,0,0,0,0,0,0,0,0,0,0.707686,0.351778,0.521474,0.467141,1.382138,0.574095,0.391810,0.000000,0.000000,0.000000,0.000000,1.080000,2.470237,-0.090958,9.622434,0.000000,0.000000,0.000000,-0.330000,-0.010000,10.030000,-10.500000,-0.870000,0.940000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.014661,-0.043982,-0.024435,0.000000,0.000000,0.000000,0.030000,-0.030000,-0.010000,30.385970,-97.726562,3.230000,133.580002,         3,        20,         9,        26,         4,         9,       800
1.705721,29.100000,25.600000,27.490000,28.600000,26.400000,27.455555,28.600000,26.500000,27.470001,30.000000,26.600000,28.000000,30.800001,28.900000,29.516668,0,0.000000,0.325448,65.089615,0.650896,0.000000,-0.000000,0.650896,0,0,0.000500,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000667,0.000000,0.000000,0.000000,0.010314,-2147483648,1077106671,0,0,0.000000,520.739990,1.740000,73.080002,4.067642,3.895000,4.127800,0.232800,1399.600098,0.000000,30.000000,0,1077805056,0,18434989490176.003906,4.067642,4.127800,3.895000,27.848782,30.800001,25.600000,0.000000,-1.000000,0.000000,-1.000000,0.000000,0.000000,0.000000,0.000000,0.400000,0.000000,0.000000,0.000000,21.600000,3.300000,3.300000,-56.700001,94.200005,-94.000000,-0.300000,-0.100000,0.200000,-0.300000,-0.300000,0.000000,-0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,         0,90089584734046724,0,0,0,0,0,0,0,0,0,0,0.712268,0.352433,0.508482,0.477162,1.386922,0.577771,0.397601,0.000000,0.000000,0.000000,0.000000,1.062500,2.431938,-0.081384,9.584135,0.000000,0.000000,0.000000,-0.380000,0.000000,10.139999,-10.469999,-0.840000,0.920000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.019548,-0.034208,-0.019548,0.000000,0.000000,0.000000,0.030000,-0.040000,-0.010000,30.385970,-97.726562,3.230000,133.580002,         3,        20,         9,        26,         4,         9,       800
