channel_name,quantity_type,unit,notes
# Built from Log__2026_04_09__03_20_09.csv using the allowed MoTeC quantity list,,,
Time,Time,s,CSV time base column; not exported as a normal data channel
Segment 1 Max,Temperature,C,
Segment 1 Min,Temperature,C,
Segment 1 Mean,Temperature,C,
Segment 2 Max,Temperature,C,
Segment 2 Min,Temperature,C,
Segment 2 Mean,Temperature,C,
Segment 3 Max,Temperature,C,
Segment 3 Min,Temperature,C,
Segment 3 Mean,Temperature,C,
Segment 4 Max,Temperature,C,
Segment 4 Min,Temperature,C,
Segment 4 Mean,Temperature,C,
Segment Unique Max,Temperature,C,
Segment Unique Min,Temperature,C,
Segment Unique Mean,Temperature,C,
Inverter Enabled,Unitless,,bool / enable state
Inverter Torque Request,Torque,Nm,
OCV Estimate,Voltage,V,
Power Limit,Power,W,
Power Limit Feedback P,Power,W,controller term
Power Limit Feedback I,Power,W,controller term
Power Limit Feedback D,Power,W,controller term
Power Limit Feedback Torque,Torque,Nm,
PRNDL State,Unitless,,"0=Park, 1=Drive"
Ready To Drive Buzzer,Unitless,,bool / buzzer active
Brake Light,Unitless,,normalized output
Enable Drag Reduction,Unitless,,bool / state
Pump Output,Unitless,,normalized output
Radiator Output,Unitless,,normalized output
Battery Fans Output,Unitless,,normalized output
Vehicle Displacement X,Length & Distance,m,
Vehicle Displacement Y,Length & Distance,m,
Vehicle Displacement Z,Length & Distance,m,
Vehicle Velocity X,Speed,m/s,
Vehicle Velocity Y,Speed,m/s,
Vehicle Velocity Z,Speed,m/s,
Vehicle Acceleration X,Acceleration,m/s/s,
Vehicle Acceleration Y,Acceleration,m/s/s,
Vehicle Acceleration Z,Acceleration,m/s/s,
HV Battery,Unitless,,normalized SoC estimate
LV Battery,Unitless,,normalized SoC estimate
Dash Speed,Speed,mph,
APPS Telemetry,Unitless,,normalized pedal travel
BSE Telemetry,Unitless,,normalized brake input
Steering Wheel Telemetry,Angle,deg,
APPS Fault,Unitless,,fault/state field
BSE Fault,Unitless,,fault/state field
STOMPP Fault,Unitless,,fault/state field
Steering Fault,Unitless,,fault/state field
Voltage,Voltage,V,
Current,Current,A,
State of Charge,Unitless,,pack SoC
Pack Voltage Mean,Voltage,V,
Pack Voltage Minimum,Voltage,V,
Pack Voltage Maximum,Voltage,V,
Pack Voltage Range,Voltage,V,
Pack Temp Mean,Temperature,C,
Pack Temp Minimum,Temperature,C,
Pack Temp Maximum,Temperature,C,
Pack Temp Range,Temperature,C,
IMD,Unitless,,bool / state
AMS,Unitless,,bool / state
Contactor Status,Unitless,,status code
Cell Voltage Mean,Voltage,V,
Cell Voltage Max,Voltage,V,
Cell Voltage Min,Voltage,V,
Cell Temps Mean,Temperature,C,
Cell Temps Max,Temperature,C,
Cell Temps Min,Temperature,C,
Volumetric Flow Rate,Volume Flow,L/min,
Water Temp Inverter,Temperature,C,
Water Temp Motor,Temperature,C,
Water Temp Radiator,Temperature,C,
Radiator Fan RPM Percentage,Angular Speed,rpm,logged as fan rpm in firmware
LV Voltage,Voltage,V,
LV State of Charge,Unitless,,
LV Current,Current,A,
Voltage Input into DC,Voltage,V,
Current Input into DC,Current,A,
RPM,Angular Speed,rpm,
Feedback Speed,Angular Speed,rpm,currently logged from inverter rpm
Average Module Temp,Temperature,C,logged from inverter module temp
Inverter Coolant Temp,Temperature,C,
Inverter Hot Spot Temp,Temperature,C,
Motor Temp,Temperature,C,
Motor Angle,Angle,deg,
Delta Resolver,Angle,deg,
Phase A Current,Current,A,
Phase B Current,Current,A,
Phase C Current,Current,A,
ID Feedback,Current,A,
IQ Feedback,Current,A,
BC Voltage,Voltage,V,
AB Voltage,Voltage,V,
Output Voltage,Voltage,V,
ID Command,Current,A,
IQ Command,Current,A,
Inverter Frequency,Frequency,Hz,
Actual Torque,Torque,Nm,
Torque Command,Torque,Nm,
Fault Vector,Unitless,,bitfield
State Vector,Unitless,,bitfield
BMS Limiting Regen Torque,Unitless,,bool / limiter state
Motor Temp Derate Limiting,Unitless,,bool / limiter state
Motor Hot Spot Limiting,Unitless,,bool / limiter state
BMS Active,Unitless,,bool / state
BMS Limiting Motor Torque,Unitless,,bool / limiter state
Max Speed Limiting,Unitless,,bool / limiter state
Inverter Hot Spot Limiting,Unitless,,bool / limiter state
Low Speed Limiting,Unitless,,bool / limiter state
Coolant Derating Limiting,Unitless,,bool / limiter state
Stall Burst Limiting,Unitless,,bool / limiter state
APPS 1 Voltage,Voltage,V,
APPS 2 Voltage,Voltage,V,
BSE 1 Voltage,Voltage,V,
BSE 2 Voltage,Voltage,V,
Steer Voltage,Voltage,V,
Suspension 1 Voltage,Voltage,V,
Suspension 2 Voltage,Voltage,V,
Front Left Wheel Speed,Angular Speed,rad/s,
Front Right Wheel Speed,Angular Speed,rad/s,
Back Left Wheel Speed,Angular Speed,rad/s,
Back Right Wheel Speed,Angular Speed,rad/s,
Front Left Wheel Magnetic Field,Unitless,mT,wheel sensor magnetic field
VCU Acceleration X,Acceleration,m/s/s,
VCU Acceleration Y,Acceleration,m/s/s,
VCU Acceleration Z,Acceleration,m/s/s,
HVC Acceleration X,Acceleration,m/s/s,
